date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:56	102/102	---M--	200	added ('OK')	text/plain	date:Fri,%2030%20Jul%202021%2009:12:53%20GMT	http://www.ivfspecialistkolkata.co.in/robots.txt		(from )
13:10:56	15544/15544	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:39%20GMT	http://www.ivfspecialistkolkata.co.in/	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/index.html	(from )
13:10:58	122540/122540	---MCZ	200	added ('OK')	text/css	etag:W/%225d5357cb3704e1f43a1f5bfed2aebf42%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	C:/My%20Web%20Sites/google/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	(from http://www.ivfspecialistkolkata.co.in/)
13:10:59	23357/23357	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/google/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap-theme.min.css	(from http://www.ivfspecialistkolkata.co.in/)
13:10:59	6976/6976	---M--	200	added ('OK')	text/css	date:Sat,%2028%20Aug%202021%2009:44:12%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107sebastian-carousel.css	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107sebastian-carousel.css	(from http://www.ivfspecialistkolkata.co.in/)
13:10:59	26711/26711	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/My%20Web%20Sites/google/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://www.ivfspecialistkolkata.co.in/)
13:11:00	2916/2916	---M--	200	added ('OK')	text/css	date:Sat,%2028%20Aug%202021%2009:43:49%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107menu.css	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107menu.css	(from http://www.ivfspecialistkolkata.co.in/)
13:11:01	35691/35691	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Sep%202021%2011:32:55%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107style.css	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107style.css	(from http://www.ivfspecialistkolkata.co.in/)
13:11:01	15544/15544	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:39%20GMT	http://www.ivfspecialistkolkata.co.in/index.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/index-2.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:03	14773/14773	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:32%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:03	93868/93868	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-16eac%22	http://code.jquery.com/jquery-1.7.1.min.js	C:/My%20Web%20Sites/google/code.jquery.com/jquery-1.7.1.min.js	(from http://www.ivfspecialistkolkata.co.in/)
13:11:03	6454/6454	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Aug%202021%2009:43:42%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107icon.png	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107icon.png	(from http://www.ivfspecialistkolkata.co.in/)
13:11:04	15419/15419	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:34%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107profile.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107profile.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:04	16267/16267	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:34%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107treatment.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107treatment.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:04	14331/14331	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:34%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107publication.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107publication.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:06	14269/14269	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:33%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107chamber.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107chamber.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:07	18915/18915	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:32%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107faq.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107faq.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:07	19473/19473	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:34%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107gallery.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107gallery.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:11	14458/14458	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:32%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107contact.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107contact.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:11	14664/14664	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2009:46:33%20GMT	http://www.ivfspecialistkolkata.co.in/adver/111107feedback.html	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/adver/111107feedback.html	(from http://www.ivfspecialistkolkata.co.in/)
13:11:24	76015/76015	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Aug%202021%2009:43:38%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107ban3.jpg	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107ban3.jpg	(from http://www.ivfspecialistkolkata.co.in/)
13:11:26	92702/92702	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Aug%202021%2009:43:38%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107ban2.jpg	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107ban2.jpg	(from http://www.ivfspecialistkolkata.co.in/)
13:11:26	97858/97858	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Aug%202021%2009:43:38%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107ban1.jpg	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107ban1.jpg	(from http://www.ivfspecialistkolkata.co.in/)
13:11:31	18571/18571	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Aug%202021%2009:43:43%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107icon01.png	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107icon01.png	(from http://www.ivfspecialistkolkata.co.in/)
13:11:33	135178/135178	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Aug%202021%2009:43:40%20GMT	http://www.ivfspecialistkolkata.co.in/cimage34/111107ban4.jpg	C:/My%20Web%20Sites/google/www.ivfspecialistkolkata.co.in/cimage34/111107ban4.jpg	(from http://www.ivfspecialistkolkata.co.in/)
